sigmoid,1,10,1.313738038
sigmoid,1,20,30.5741502197
sigmoid,1,30,2.68138142996
sigmoid,1,40,4.19593184151
sigmoid,1,50,7.96100747139
sigmoid,1,60,12.321551137
sigmoid,1,70,10.0534963056
sigmoid,1,80,12.9692888548
sigmoid,1,90,9.41342286477



sigmoid,2,10,7.42486385131
sigmoid,2,20,7.68818125897
sigmoid,2,30,13.7870803549
sigmoid,2,40,34.2488812555
sigmoid,2,50,21.142516395

sigmoid,2,70,26.5821532766
sigmoid,2,80,19.3744922615
sigmoid,2,90,15.6913431617



sigmoid,3,10,5.90917582529
sigmoid,3,20,4.00482115097
sigmoid,3,30,15.4665065203
sigmoid,3,40,7.2089978727
sigmoid,3,50,6.41911097478

sigmoid,3,70,18.3252565242

sigmoid,3,90,30.2986639262















